uid,Map_changes,Reverted_changes,restored_map_edits,nodes_Created,nodes_Modified,nodes_Deleted,Ways_Created,Ways_Modified,Ways_Deleted,Relations_Deleted,Median_length,Registered_timeStamp,average_year,efficient_year,acc,class,weekday,weekend
10134281,114,1,0,58,2,22,13,16,3,0,1,1562371200,0.2,0.2,0.80194967,1,0,21
12465894,1734,3,0,994,165,103,358,100,11,1,7,1610323200,4.333333333,0.333333333,0.94586943,1,15,6
622423,1533,1,0,1205,90,83,80,63,9,0,0,1331251200,1.25,0.166666667,0.885461032,1,16,5
1891561,1328,0,0,927,0,46,252,88,15,0,0,1390003200,0.4,0.1,0.901275006,1,15,6
2238048,425,0,0,303,22,8,57,35,0,0,0,1407196800,0.444444444,0.222222222,0.861900577,1,21,0
2520499,603,0,2,451,59,7,29,55,2,0,0,1418515200,0.555555556,0.444444444,0.836563055,1,2,19
2854903,173,0,0,90,33,14,13,20,3,0,0,1429833600,0.555555556,0.111111111,0.905039069,1,14,7
4172387,1040,0,0,707,144,13,94,79,3,0,11,1466899200,0.5,0.125,0.830263813,1,12,9
5077787,4551,0,3,325,3399,378,67,305,72,0,46,1483574400,2.142857143,0.714285714,0.830610531,1,17,4
14706150,79,0,0,46,4,2,12,15,0,0,18,1640390400,0.5,0.5,0.947230313,1,0,20
15822493,3027,0,0,895,513,16,133,1456,6,0,9,1651536000,4.5,1,0.866098063,1,15,5
18356812,3040,0,0,1755,407,276,348,214,38,0,4,1674604800,5,1,0.745994829,1,19,1
7529623,613,0,0,306,54,33,83,128,9,0,15,1516924800,2,0.333333333,0.901710246,1,9,11
8330239,687,0,0,225,264,45,54,87,10,0,7,1527292800,1,0.5,0.884493256,1,17,3
8592123,2522,1,0,2075,61,60,296,26,4,0,40,1532390400,1.166666667,0.666666667,0.849982377,1,19,1
9940367,3323,0,0,2861,19,2,434,7,0,0,9,1557619200,1,0.4,0.914749784,1,18,2
10781444,356,0,0,276,17,0,47,16,0,0,8,1581638400,1,0.5,0.927329132,1,4,16
67244,254,0,0,35,99,3,3,114,0,0,24,1221091200,0.933333333,0.533333333,0.93396081,1,16,4
2225546,520,0,0,312,43,33,71,43,13,1,0,1406764800,0.4,0.2,0.814062194,1,9,11
2846596,405,1,1,172,105,6,47,61,1,1,10,1429574400,1.222222222,0.444444444,0.794492144,1,14,6
3118813,211,0,0,88,84,12,15,10,2,0,22,1438560000,2,0.666666667,0.967660483,2,11,9
3612116,1666,1,1,1367,129,34,46,80,8,0,6.5,1454976000,1.75,0.75,0.8309111,1,11,9
3802176,2992,1,0,2015,369,194,225,169,18,0,2,1460160000,0.875,0.375,0.92299014,1,14,6
4913117,317,0,0,81,120,25,13,76,2,0,15,1480636800,0.857142857,0.571428571,0.927146783,1,19,1
5019704,55,0,0,32,9,3,4,7,0,0,18,1482624000,0.857142857,0.285714286,0.959316528,2,16,4
14592058,276,1,0,205,26,11,17,15,0,0,23,1638921600,2.5,1,0.902629733,1,19,0
6451198,31,0,0,9,2,2,1,16,0,0,25,1502150400,1.166666667,0.5,0.961212951,2,16,3
7122194,646,0,0,467,27,20,82,45,5,0,7,1512086400,0.5,0.333333333,0.888163935,1,18,1
7409850,98,2,0,27,17,2,9,43,0,0,6,1514851200,0.166666667,0.166666667,0.769116011,1,19,0
