uid,mapping_days,Map_changes,Reverted_changes,restored_changesets,restored_map_edits,revert_contributors,Discussed_changesets,dis_responses,com_changesets,num_comments,nodes_Created,nodes_Modified,nodes_Deleted,Ways_Created,Ways_Modified,Ways_Deleted,Relations_Created,Relations_Modified,Relations_Deleted,Overall,comments,Unique_comments,Median_length,Registered_timeStamp,Sun,Mon,Tue,Wed,Thu,Fri,Sat,years_passed,average_year,efficient_year,iD,JOSM,JOSM (Reverter),Potlatch,Merkaartor,Vespucci,Go Map!!,StreetComplete,OsmAnd,Maps.Me,Level0,Every Door,RapiD,Pic4Review,Rosemary,Mapzen,unKnowEditors,acc
350183,255,19261,116,5,6,5,7,1,2,2,4509,4154,163,639,9736,16,4,30,1,3355,3354,431,28.0,1285113600,329,455,676,504,469,456,466,13,19.615384615384617,0.9230769230769232,5.603576751117736,2.354694485842027,0.0,0.9538002980625933,0.1192250372578241,0.7153502235469449,0.0,90.22354694485844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029806259314456,0.9380894177472054
351693,555,175228,259,35,115,28,2,1,1,1,99079,30890,12654,12294,17523,1776,46,884,13,2740,1294,116,0.0,1285459200,393,489,441,344,367,412,294,13,42.69230769230769,1.0,45.69343065693431,0.0,0.0,54.30656934306569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9723411123733255
371121,2231,3065722,155,39,100,35,16,7,14,15,1766296,760608,235784,122293,147003,32641,429,652,16,14761,14739,3058,36.0,1289692800,1882,1069,1827,2249,2032,2770,2932,13,171.6153846153846,0.9230769230769232,10.624745900528527,68.62718525545468,0.0,0.0474319013416452,0.0271039436237972,3.4422008402222524,0.0,0.0203279577178479,0.0880878167773411,0.0,0.0,0.0203279577178479,17.089036454804173,0.0,0.0,0.0,0.0135519718118986,0.9376426025794926
374593,4,288,1,0,0,0,0,0,0,0,117,30,92,19,22,8,0,0,0,16,8,8,1.0,1290556800,0,1,5,9,0,1,0,13,0.3076923076923077,0.3076923076923077,93.75,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9230967352808316
395485,139,10720,12,7,24,1,3,1,1,1,4558,2897,1411,627,1002,213,2,10,0,428,426,306,29.0,1294963200,44,60,56,72,56,86,54,13,10.692307692307692,0.7692307692307693,98.36448598130842,0.7009345794392523,0.0,0.9345794392523364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9307071386023364
397719,845,153829,139,18,21,16,6,4,15,16,94541,11586,9607,11613,24188,938,179,1157,11,7251,7250,5003,32.0,1295481600,460,1146,1241,1257,1540,1290,317,13,65.0,1.0,83.54709695214453,11.488070610950214,0.0,4.840711625982623,0.0,0.0,0.0,0.0,0.0137912012136257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1103296097090056,0.8000779150523525
398086,437,409121,116,206,426,109,0,0,0,0,106079,75337,162213,7876,41263,10503,1299,3488,712,1800,1771,519,17.0,1295481600,155,326,332,270,324,248,145,13,33.61538461538461,0.6153846153846154,0.3333333333333333,96.94444444444444,0.0,1.8333333333333333,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7222222222222222,0.982206724528144
411531,1235,5227689,56,61,122,36,18,13,13,14,4196498,434455,151022,351115,75366,11316,4284,2966,60,5950,5864,3552,40.0,1298073600,791,1091,914,902,865,781,606,13,95.0,1.0,1.9495798319327733,97.88235294117648,0.0,0.1008403361344537,0.0336134453781512,0.0,0.0168067226890756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0168067226890756,0.8803051287690535
434542,46,12056,2,1,1,1,0,0,0,0,6269,3006,485,1250,664,52,6,14,0,165,165,126,28.0,1302220800,19,33,24,32,18,9,30,13,3.5384615384615383,0.1538461538461538,0.0,87.87878787878788,0.0,0.0,10.909090909090908,0.6060606060606061,0.0,0.0,0.6060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9538344988636608
451693,38,4156347,81,31,194,16,2,0,0,0,0,0,0,111,4156112,0,0,0,0,11188,11188,3,15.0,1304899200,1817,1727,892,2110,1286,1711,1645,13,2.923076923076923,0.2307692307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.8961951636300247
